vk=0x26, down=true, state=0, record_vk=0x78
vk=0x26, down=false, state=0, record_vk=0x78
vk=0x28, down=true, state=0, record_vk=0x78
vk=0x28, down=false, state=0, record_vk=0x78
vk=0xA2, down=true, state=0, record_vk=0x78
vk=0x43, down=true, state=0, record_vk=0x78
vk=0x43, down=false, state=0, record_vk=0x78
vk=0xA2, down=false, state=0, record_vk=0x78
vk=0xA2, down=true, state=0, record_vk=0x78
vk=0x43, down=true, state=0, record_vk=0x78
vk=0x43, down=false, state=0, record_vk=0x78
vk=0xA2, down=false, state=0, record_vk=0x78
vk=0xA2, down=true, state=0, record_vk=0x78
vk=0x43, down=true, state=0, record_vk=0x78
vk=0x43, down=false, state=0, record_vk=0x78
vk=0x43, down=true, state=0, record_vk=0x78
vk=0x43, down=false, state=0, record_vk=0x78
vk=0x43, down=true, state=0, record_vk=0x78
vk=0x43, down=false, state=0, record_vk=0x78
vk=0x43, down=true, state=0, record_vk=0x78
vk=0x43, down=false, state=0, record_vk=0x78
vk=0x43, down=true, state=0, record_vk=0x78
vk=0x43, down=false, state=0, record_vk=0x78
vk=0xA2, down=false, state=0, record_vk=0x78
vk=0x5B, down=false, state=3, record_vk=0x78
vk=0x44, down=false, state=3, record_vk=0x78
vk=0xA2, down=true, state=3, record_vk=0x78
vk=0xA2, down=true, state=3, record_vk=0x78
vk=0xA2, down=true, state=3, record_vk=0x78
vk=0x43, down=true, state=3, record_vk=0x78
